"year","name","tot","n.all","n.used","hi","lo","sd","board.rk"
2011,"Dairese Gary",0,1,0,112,112,,142
2011,"Jamel McLean",0,1,0,102,102,,142
2011,"Jeremy Green",0,1,0,128,128,,142
2011,"Joseph Fulce",0,1,0,111,111,,142
2011,"Marcus Simmons",0,1,0,138,138,,142
2011,"Matthew O'donnell",0,1,0,140,140,,142
2011,"Mike Stockton",0,1,0,112,112,,142
2011,"Mike Tisdale",0,1,0,137,137,,142
2011,"Mychel Thompson",0,1,0,123,123,,142
2011,"Nicolo Melli",0,1,0,118,118,,142
2011,"Ryan Rossiter",0,1,0,107,107,,142
2011,"Sarra Camara",0,1,0,131,131,,142
2011,"Will Coleman",0,1,0,126,126,,142
2012,"Kevin Jones",238,4,4,32,50,8.06225774829855,37
2012,"Drew Gordon",230,4,4,37,56,8.50490054811538,40
2012,"JaMychal Green",209,4,4,38,69,13.8172597379751,44
2012,"Hollis Thompson",205,4,4,44,59,6.5,46
2012,"William Buford",205,4,4,41,61,8.53912563829967,46
2012,"Henry Sims",182,4,4,48,61,5.44671154612273,54
2012,"J'Covan Brown",177,4,4,45,72,12.9711217710728,55
2012,"Scott Machado",169,4,4,45,80,16.6408132814075,57
2012,"Tu Holloway",154,4,4,49,79,13.6259556239798,62
2012,"Alex Young",128,4,4,54,94,18,65
2012,"Leon Radosevic",122,4,4,57,78,9.25562891794321,66
2012,"Casper Ware",112,4,4,56,92,14.7648230602334,68
2012,"Garrett Stutz",106,4,4,58,90,14.6173412995205,70
2012,"Maalik Wayns",104,3,3,55,74,10.0166528008778,71
2012,"Terrell Stoglin",100,3,3,43,85,21.9393102292058,72
2012,"Cameron Moore",98,4,4,57,91,14.5487685618635,73
2012,"Ricardo Ratliffe",93,4,4,72,87,6.5,74
2012,"Jordan Taylor",93,3,3,61,81,10.1488915650922,74
2012,"Xavier Gibson",93,3,3,55,85,15,74
2012,"Eric Griffin",86,3,3,60,88,14.2945210949277,77
2012,"Mitchell Watt",85,4,4,71,86,6.34428877022476,78
2012,"Yancy Gates",83,4,4,66,89,9.94568583189046,79
2012,"Dusan Cantekin",82,3,3,60,94,17.9536440126603,80
2012,"Dee Bost",77,3,3,72,78,3.05505046330389,81
2012,"Herb Pope",76,4,4,71,98,12.5698050899765,82
2012,"Chris Johnson",75,2,2,53,74,14.8492424049175,83
2012,"Josep Franch",74,4,4,60,98,17.019596548293,84
2012,"John Shurna",74,3,3,70,82,6.02771377334171,84
2012,"Kostas Sloukas",74,2,2,64,64,0,84
2012,"Zack Rosen",68,4,4,69,95,10.8934230922455,87
2012,"Rakim Sanders",66,4,4,80,89,3.87298334620742,88
2012,"Nihad Djedovic",57,2,2,53,92,27.5771644662754,89
2012,"Paul Lacombe",55,2,2,65,82,12.0208152801713,90
2012,"Renardo Sidney",53,3,3,50,100,28.8675134594813,91
2012,"Charlie Westbrook",49,4,4,81,93,5.67890834580027,92
2012,"Terrance Henry",43,1,1,58,58,,94
2012,"Ramone Moore",40,1,1,61,61,,96
2012,"Reggie Hamilton",32,2,2,75,95,14.142135623731,99
2012,"Wesley Witherspoon",30,3,3,87,95,4,100
2012,"Alen Omic",28,3,3,86,99,6.65832811847939,101
2012,"Devoe Joseph",24,2,2,87,91,2.82842712474619,102
