"id","Player","start","end","seasons","G","WS","All.NBA.tot","All NBA-1","All NBA-2","All NBA-3","AS NBA","bs.rk","slam.rk","missed","First","Quarters","Semis","Finals","Champ","closest.series.cnt","games.away.min","closest.lab","simp.lab"
"copato01","Tom Copa",1992,1992,1,33,0.2,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"copelch01","Chris Copeland",2013,2016,4,171,2.9,0,0,0,0,0,,,2,0,1,1,0,0,1,2,"2014: Miami Heat (4) - Indiana Pacers (2)","2014: Miami Heat"
"copelho01","Hollis Copeland",1980,1982,2,93,1.3,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"copella01","Lanard Copeland",1990,1992,2,33,-0.3,0,0,0,0,0,,,1,0,1,0,0,0,1,3,"1990: Chicago Bulls (4) - Philadelphia 76ers (1)","1990: Chicago Bulls"
"corbity01","Tyrone Corbin",1986,2001,16,1065,56.5,0,0,0,0,0,,,5,6,2,3,0,0,1,2,"1992: Portland Trail Blazers (4) - Utah Jazz (2)","1992: Portland Trail Blazers"
"corchch01","Chris Corchiani",1992,1994,3,112,1.6,0,0,0,0,0,,,3,0,0,0,0,0,,,,
"corleke01","Ken Corley",1947,1947,1,3,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"corlera01","Ray Corley",1950,1953,3,102,0.8,0,0,0,0,0,,,2,0,0,0,1,0,1,2,"1950: Minneapolis Lakers (4) - Syracuse Nationals (2)","1950: Minneapolis Lakers"
"corzida01","Dave Corzine",1979,1991,13,891,37.5,0,0,0,0,0,,,3,5,2,2,1,0,1,3,"1979: Seattle SuperSonics (4) - Washington Bullets (1)","1979: Seattle SuperSonics"
"costela01","Larry Costello",1955,1968,12,706,62.7,1,0,1,0,6,,280,2,0,6,3,0,1,,,,
"costema01","Matt Costello",2018,2018,1,4,0.1,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"cottobr01","Bryce Cotton",2015,2016,2,23,0.1,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"cottoja01","Jack Cotton",1950,1950,1,54,-1.5,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"cottoja02","James Cotton",1998,1999,2,19,0,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"coughjo01","John Coughran",1980,1980,1,24,-0.3,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"countme01","Mel Counts",1965,1976,12,789,27.7,0,0,0,0,0,,,4,0,2,0,4,2,,,,
"courtjo01","Joe Courtney",1993,1997,4,96,0.4,0,0,0,0,0,,,4,0,0,0,0,0,,,,
"courtst01","Steve Courtin",1965,1965,1,24,0.2,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"couside01","DeMarcus Cousins",2011,2019,9,565,44,2,0,2,0,4,,,8,0,0,0,1,0,1,2,"2019: Toronto Raptors (4) - Golden State Warriors (2)","2019: Toronto Raptors"
"cousima01","Marcus Cousin",2011,2011,1,4,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"cousybo01","Bob Cousy",1951,1970,14,924,91,12,10,2,0,13,21,24,1,0,3,3,1,6,,,,
"covinro01","Robert Covington",2014,2019,6,326,17.8,0,0,0,0,0,,,5,0,1,0,0,0,1,3,"2018: Boston Celtics (4) - Philadelphia 76ers (1)","2018: Boston Celtics"
"cowenda01","Dave Cowens",1971,1983,11,766,86.3,3,0,3,0,8,31,44,4,0,1,4,0,2,,,,
