"sport","year","teams","non_na","mean_season","med_season","sd_season"
"nfl",1961,14,14,3.95189504373178,3,4.00404760404343
"nfl",1962,14,14,4.61807580174927,3.5,4.19853338735986
"nfl",1963,14,14,3.42492711370262,3,2.09634658450947
"nfl",1964,14,14,4.15816326530612,4,2.33735929762792
"nfl",1965,14,14,4.01530612244898,3.71428571428572,2.10854927387714
"nfl",1966,15,15,3.85238095238095,3.78571428571429,2.77384528895806
"nfl",1967,16,16,4.11160714285714,3,3.00464139257236
"nfl",1968,16,16,3.50573979591837,3,2.55014670412318
"nfl",1969,16,16,3.29910714285714,2.5,2.60823118184704
"nfl",1970,26,26,3.73626373626374,3,2.85412477958775
"nfl",1971,26,26,3.33006279434851,2.5,3.16694051451419
"nfl",1972,26,26,3.8506671899529,2.25,3.42529956788039
"nfl",1973,26,26,4.11263736263736,3,3.83182543146037
"nfl",1974,26,26,4.24372056514914,3,3.78309478317263
"nfl",1975,26,26,3.92229199372057,3,3.55143802015762
"nfl",1976,28,28,3.59110787172012,2,3.66287201632669
"nfl",1977,28,28,4.14577259475219,2.86224489795919,3.88402496627247
"nfl",1978,28,28,3.83565848214286,2,4.35321049720227
"nfl",1979,28,28,4.107421875,2,4.35433779536868
"nfl",1980,28,28,4.78348214285714,3,4.51599786660167
"nfl",1981,28,28,5.24330357142857,4,4.79837511335924
"nfl",1982,28,28,5.74063051146384,4.875,5.08366223694993
"nfl",1983,28,28,5.25111607142857,3,5.75623958296485
"nfl",1984,28,28,4.94670758928571,2.87890625,5.47218685555196
"nfl",1985,28,28,4.96121651785714,3,5.73208869697605
"nfl",1986,28,28,5.21205357142857,4,5.98890950100284
"nfl",1987,28,28,5.65178571428571,3.75,6.28150459156582
"nfl",1988,28,28,6.138671875,3.8125,6.43210034894572
"nfl",1989,28,28,5.22126116071429,4,5.03636365135791
"nfl",1990,28,28,5.38895089285714,3.66015625,5.42782486084534
"nfl",1991,28,28,5.62737165178571,3,5.74571427929609
"nfl",1992,28,28,4.30357142857143,3,4.91227187900136
"nfl",1993,28,28,3.91071428571429,2.5,4.37111032684122
"nfl",1994,28,28,4.19754464285714,3,4.60252495217931
"nfl",1995,30,30,4.20416666666667,3,4.82871856588327
"nfl",1996,30,30,3.56276041666667,2.6875,2.47908180435718
"nfl",1997,30,30,3.04583333333333,2,2.54162191405862
"nfl",1998,30,30,3.39479166666667,3,2.20336737987654
"nfl",1999,31,31,3.03024193548387,3,1.96577956915727
"nfl",2000,31,31,3.12134576612903,2,2.26875792177416
"nfl",2001,31,31,3.51839717741935,3,2.50488012326212
"nfl",2002,32,32,3.462890625,3,2.56536815170459
"nfl",2003,32,32,3.736572265625,3,2.61559347097761
"nfl",2004,32,32,3.74462890625,3,2.91738339479268
"nfl",2005,32,32,4.35986328125,4,3.14159714124719
"nfl",2006,32,32,4.16796875,3,3.69060617876439
"nfl",2007,32,32,4.127197265625,2.5,3.4840366459149
"nfl",2008,32,32,4.506103515625,3,3.66424048374751
"nfl",2009,32,32,3.777587890625,2.59765625,3.45509665397676
"nfl",2010,32,32,4.4649658203125,3,3.64268725504808
"nfl",2011,32,32,4.137451171875,3,3.15408395124569
"nfl",2012,32,32,4.2685546875,3,3.58547749988126
"nfl",2013,32,32,3.883056640625,3,3.26704362971595
"nfl",2014,32,32,4.05078125,2.5,3.61195642397155
"nfl",2015,32,32,4.11181640625,2.87890625,3.94565779065315
"nfl",2016,32,32,4.38232421875,3,3.94976714613391
"nfl",2017,32,32,4.861328125,3.5,4.28324680814753
"nfl",2018,32,32,4.9296875,3,4.59311562988742
"nfl",2019,32,32,4.480712890625,3,4.39206734663
"nfl",2020,32,32,4.51025390625,3,4.54691632591068
"nfl",2021,32,32,4.75335207612457,3,4.94336587410835
"nfl",2022,32,32,4.51827422145329,2.30968858131488,5.30243798462276
"nfl",2023,32,32,5.1522491349481,3,5.51926735747878
"nhl",1918,4,4,1,1,0
"nhl",1919,3,3,1.66666666666667,2,0.577350269189626
"nhl",1920,4,4,1.375,1,1.10867789130417
"nhl",1921,4,4,2,1.5,1.4142135623731
"nhl",1922,4,4,1.93836805555556,1.87673611111111,0.825748541004269
"nhl",1923,4,4,1.89670138888889,1.35416666666666,1.44916200940885
"nhl",1924,4,4,2.50347222222222,2.25,1.89206483409521
"nhl",1925,6,6,2.28472222222222,1,2.11811247646648
"nhl",1926,7,7,1.95833333333333,2,1.31167301989143
"nhl",1927,10,10,1.41487603305785,1,0.921725917002838
"nhl",1928,10,10,2.05010330578512,2,1.25705999508327
"nhl",1929,10,10,2.8603305785124,3,1.51103598334364
"nhl",1930,10,10,2.45010330578512,2,1.8324534869
"nhl",1931,10,10,2.83801652892562,1.66528925619835,2.21932655939839
"nhl",1932,8,8,3.73909998421717,3.5,2.82807996638083
"nhl",1933,9,9,3.15113811728395,1,3.24890015062932
"nhl",1934,9,9,4.0462962962963,2,3.34189619201121
"nhl",1935,9,9,3.27247299382716,1.33420138888889,3.14383767093987
"nhl",1936,8,8,3.98697916666667,2,3.62138807294949
"nhl",1937,8,8,4.48697916666667,3,4.06548177355295
